incident_id,company_name,incident_type,severity,department,affected_users,financial_loss_usd,resolution_time_hours,status,incident_date
125,Webb PLC,SQL Injection,Critical,Operations,82,71386,56,Investigating,2026-02-20
126,"Leach, Horn and Hodge",Ransomware,Critical,Sales,395,48752,15,Open,2025-10-30
127,Gomez Ltd,Phishing,High,Sales,468,39165,8,Resolved,2026-02-24
128,Wilkinson PLC,Ransomware,Critical,HR,445,45041,72,Open,2025-10-21
129,Alvarez-Gonzales,Phishing,Critical,Sales,220,43161,18,Open,2025-09-16
130,"Brock, Donaldson and Miller",DDoS,High,Finance,85,51584,62,Open,2025-05-24
131,Rojas-Camacho,Malware,Medium,Operations,436,23124,32,Investigating,2025-09-27
132,"Martin, Cox and Gibson",Insider Threat,Critical,Finance,302,35507,53,Resolved,2026-03-15
133,Rodriguez Group,DDoS,Medium,Sales,464,24319,38,Open,2025-12-15
134,Cooper-Austin,Ransomware,Critical,Sales,238,32947,65,Open,2025-09-16
135,"Tapia, Odonnell and Barrett",SQL Injection,High,IT,309,55195,45,Investigating,2025-09-26
136,"Torres, Snow and Horn",DDoS,Medium,Operations,70,64483,7,Investigating,2026-04-15
137,Simmons-Nelson,Malware,Medium,Operations,403,94889,7,Investigating,2025-05-21
138,Case-Fisher,Insider Threat,Critical,Operations,291,56549,56,Investigating,2025-07-07
139,Thompson-Jones,Malware,Critical,HR,130,29541,58,Investigating,2025-07-30
140,Gibson Inc,Insider Threat,Medium,Finance,426,18283,31,Investigating,2025-11-25
141,Sullivan-Williams,SQL Injection,High,Sales,236,85760,47,Investigating,2025-05-31
142,"Garcia, Ross and Taylor",Ransomware,Low,Finance,473,44547,45,Open,2026-02-16
143,Hunt and Sons,Insider Threat,Medium,Finance,30,5777,66,Resolved,2025-11-10
144,"Macias, Thomas and Williams",Ransomware,High,IT,441,25045,18,Investigating,2026-01-31
145,Brown Ltd,DDoS,High,IT,245,12184,35,Investigating,2025-05-09
146,George Ltd,DDoS,High,Sales,220,36467,52,Resolved,2025-10-05
147,Bennett Ltd,Phishing,High,Operations,478,38355,72,Resolved,2025-07-24
148,"Perez, Diaz and Villanueva",Phishing,Critical,IT,361,52834,25,Investigating,2025-09-20
149,"Wyatt, Cooper and Oliver",Ransomware,Low,Sales,121,64029,13,Open,2025-11-08
150,Young Group,Ransomware,Low,Operations,53,93814,6,Resolved,2026-01-25
151,Harris-Stanton,DDoS,High,HR,46,20149,10,Resolved,2025-08-10
152,Gibson LLC,Ransomware,High,Finance,300,89112,5,Open,2025-05-22
153,Pratt-Randolph,DDoS,Medium,Finance,345,70609,65,Investigating,2026-03-07
154,"Wiley, Ramirez and Herrera",Malware,Critical,IT,477,53672,15,Open,2026-05-04
155,Horne and Sons,Insider Threat,Critical,HR,457,25234,9,Open,2025-05-27
156,Hall-Perez,Insider Threat,Low,Operations,179,56378,47,Investigating,2026-01-03
157,Humphrey and Sons,Phishing,Critical,Finance,476,69627,25,Resolved,2026-01-07
158,Sanchez-Roberts,Malware,Medium,IT,493,97215,72,Resolved,2026-02-19
159,Miller Inc,Ransomware,Low,IT,53,36202,24,Resolved,2026-04-08
160,"Bradshaw, Carr and Brewer",Phishing,Low,Finance,157,95320,44,Investigating,2026-04-01
161,Martin Inc,Insider Threat,Medium,Sales,341,48262,58,Investigating,2025-05-28
162,Jackson Group,Phishing,Critical,HR,53,10053,32,Open,2025-12-18
163,"Cook, Dixon and Young",SQL Injection,Low,Operations,249,50500,35,Open,2025-11-09
164,Massey and Sons,Insider Threat,Critical,HR,40,47335,18,Investigating,2026-03-03
165,"Pearson, Green and Johnson",Phishing,High,HR,107,82849,5,Investigating,2025-12-07
166,Cunningham-Lynch,SQL Injection,Medium,Operations,117,72171,65,Investigating,2025-07-27
167,Copeland-Lopez,Malware,Medium,Sales,284,55158,30,Open,2025-11-01
168,Castillo-Garcia,Ransomware,High,Finance,322,21939,38,Open,2025-07-25
169,Cowan-Garcia,DDoS,Critical,IT,270,7349,17,Resolved,2025-12-19
170,"Smith, Rodriguez and Owens",Phishing,Critical,HR,476,32006,37,Open,2025-10-10
171,Vaughan and Sons,Ransomware,Low,Finance,306,40267,69,Investigating,2025-05-28
172,Reed Group,Insider Threat,Medium,HR,206,81554,68,Resolved,2025-09-24
173,Morton-Robertson,Ransomware,Critical,HR,324,91362,45,Open,2025-11-18
174,Miller Inc,Phishing,Low,IT,43,64748,15,Open,2025-12-24
175,Gonzalez PLC,Ransomware,High,Finance,93,37588,20,Investigating,2026-02-10
176,"Stewart, Swanson and Gentry",Phishing,High,Operations,16,7292,48,Open,2025-10-14
177,"Clarke, Morris and Fowler",SQL Injection,Low,HR,69,81027,61,Open,2026-02-23
178,Diaz Inc,DDoS,Medium,IT,107,77815,13,Open,2026-02-15
179,"Moore, Wallace and Reyes",DDoS,High,Operations,265,93437,38,Open,2025-10-17
180,Summers Inc,Ransomware,Low,HR,224,71665,63,Investigating,2025-08-20
181,"Christensen, Barrera and Rodriguez",Malware,Low,Sales,98,64891,9,Investigating,2025-09-12
182,Holmes PLC,Insider Threat,Critical,Sales,332,18770,15,Resolved,2025-06-22
183,Wright Inc,Malware,Medium,Sales,259,15968,63,Open,2025-06-28
184,"Adams, Stanley and Young",Malware,High,Finance,269,90988,33,Investigating,2025-05-17
185,"Hall, Juarez and Lee",DDoS,Medium,Sales,185,6323,31,Open,2026-01-01
186,"White, Gonzales and Reeves",SQL Injection,Critical,Sales,171,98106,32,Resolved,2025-06-17
187,"Hughes, Washington and Sanchez",Phishing,Medium,HR,315,90691,47,Resolved,2025-06-24
188,"Hamilton, Kelly and Davis",DDoS,Low,Sales,471,60234,44,Open,2025-12-03
189,"Smith, Dickerson and Martinez",Insider Threat,Critical,IT,231,70344,60,Open,2026-02-04
190,Acosta PLC,Ransomware,Critical,IT,199,23288,53,Open,2026-02-14
191,"Rodriguez, Dodson and Russell",Insider Threat,Medium,HR,207,60718,67,Resolved,2025-12-25
192,Lin-Huber,Insider Threat,Medium,HR,26,83961,72,Investigating,2025-09-13
193,Smith Ltd,SQL Injection,Low,HR,438,97202,46,Investigating,2025-07-11
194,Bradshaw Ltd,Insider Threat,High,HR,211,35176,28,Resolved,2026-01-31
195,Adkins Ltd,Ransomware,Medium,Operations,314,44335,55,Open,2025-05-18
196,Williams-Diaz,Phishing,High,Operations,195,34482,5,Investigating,2025-10-11
197,"Miller, Williams and Collins",Ransomware,Low,IT,229,80020,29,Investigating,2025-11-23
198,"Ryan, Moore and Dorsey",Ransomware,Medium,Operations,404,44814,67,Resolved,2025-07-21
199,French Inc,Ransomware,Low,Finance,125,29343,62,Resolved,2025-07-19
200,Ross LLC,SQL Injection,Critical,IT,335,95037,18,Investigating,2025-06-28
201,Morgan-Berry,SQL Injection,High,IT,482,46408,18,Investigating,2025-11-06
202,Perez Group,SQL Injection,High,HR,45,79380,69,Investigating,2025-09-25
203,"Edwards, Martinez and Mata",SQL Injection,Critical,Operations,480,84043,52,Investigating,2026-04-01
204,Paul-Williams,Phishing,Medium,IT,233,67623,68,Open,2026-02-20
205,"Thomas, Washington and Chang",SQL Injection,High,HR,497,98154,22,Investigating,2026-02-16
206,Rice-Nichols,Phishing,Low,Finance,292,11014,10,Open,2026-01-29
207,"Bolton, Monroe and James",Malware,High,IT,199,37747,29,Investigating,2025-05-31
208,Rose Group,Insider Threat,Critical,IT,38,47315,22,Resolved,2025-11-15
209,Ross Ltd,SQL Injection,Low,Operations,289,4586,57,Open,2026-01-28
210,Nguyen and Sons,Insider Threat,High,HR,355,55088,45,Open,2026-02-16
211,Wyatt Inc,DDoS,Critical,Operations,269,53300,29,Resolved,2026-03-25
212,Carpenter-Dougherty,Insider Threat,Medium,Finance,490,52584,21,Open,2025-11-11
213,Gonzalez Group,Ransomware,Critical,IT,188,27583,63,Open,2025-09-06
214,Beasley and Sons,Ransomware,Low,Finance,316,7902,20,Open,2025-07-23
215,Stanley-Ryan,Ransomware,Low,HR,278,28532,3,Investigating,2025-06-18
216,Underwood LLC,Insider Threat,High,IT,12,79959,43,Resolved,2026-03-16
217,Harmon and Sons,SQL Injection,High,Sales,407,11495,18,Open,2026-04-15
218,Butler and Sons,DDoS,Critical,Finance,66,85948,64,Resolved,2025-09-28
219,"Garcia, Washington and Leonard",Insider Threat,Low,Finance,275,89484,30,Open,2026-03-10
220,Ward-Miller,Insider Threat,High,Sales,297,70907,24,Open,2025-06-07
221,Butler LLC,DDoS,Low,HR,483,18357,65,Open,2026-03-17
222,Lee Group,Malware,Critical,Finance,205,93962,32,Resolved,2025-12-24
223,Kim-Parker,Ransomware,Medium,Finance,45,99363,18,Investigating,2025-10-07
224,Ruiz-White,DDoS,High,Finance,119,53782,25,Resolved,2025-12-13
225,Foley PLC,Malware,Critical,Finance,120,64502,5,Open,2025-09-02
226,"Scott, Thomas and Flores",DDoS,Critical,Finance,496,86570,41,Investigating,2025-10-21
227,"Gonzalez, Riley and Phillips",Malware,High,IT,46,88552,9,Open,2026-02-03
228,Hart-Lin,DDoS,Medium,Sales,320,16908,25,Resolved,2025-11-24
229,Rogers Ltd,Ransomware,Critical,Sales,309,33409,51,Open,2026-01-17
230,"Huffman, Ramsey and Lopez",Ransomware,Critical,IT,145,48116,48,Investigating,2025-10-09
231,Bass-Morris,DDoS,Critical,Sales,182,94215,56,Investigating,2025-12-17
232,Reyes Group,Phishing,Low,Finance,331,5031,38,Investigating,2026-01-08
233,Ruiz-Smith,Malware,High,Finance,42,13303,42,Open,2025-09-10
234,Barnes PLC,DDoS,Low,IT,432,69567,28,Resolved,2025-10-27
235,Cook-Rhodes,SQL Injection,Critical,Operations,35,29074,5,Open,2026-02-24
236,Gomez Group,Malware,Critical,IT,310,59088,60,Resolved,2025-11-01
237,"Bowen, Gonzales and Bowers",Insider Threat,High,Finance,444,65991,1,Resolved,2025-12-27
238,Briggs-Bowman,Malware,High,Operations,21,72440,38,Open,2025-09-29
239,Roberts-Sullivan,Phishing,Critical,Sales,396,49880,57,Resolved,2025-06-23
240,Alexander Ltd,Malware,Medium,HR,182,76035,21,Open,2025-08-05
241,Knapp-Rivera,Phishing,High,Finance,117,89366,47,Open,2026-02-25
242,"Williams, Roberson and Campbell",Insider Threat,Medium,Operations,244,39526,28,Investigating,2026-03-18
243,Gilbert-Brown,Ransomware,Low,Sales,305,18919,14,Resolved,2025-05-26
244,Douglas-Taylor,DDoS,Medium,Finance,445,74023,38,Investigating,2026-02-01
245,Ruiz-Doyle,SQL Injection,Medium,Operations,412,59377,26,Investigating,2025-08-31
246,Green PLC,Phishing,Medium,Operations,134,70526,12,Investigating,2025-11-13
247,Mosley-Mendez,SQL Injection,Medium,Operations,318,33482,54,Investigating,2026-03-26
248,"Santiago, Zimmerman and Delacruz",Insider Threat,High,Sales,431,21108,30,Resolved,2025-12-06
249,Fowler and Sons,Malware,High,Operations,261,74132,68,Investigating,2025-10-21
250,"Williams, Smith and Smith",SQL Injection,High,Finance,293,7892,38,Resolved,2025-12-22
251,Contreras Group,Malware,Low,Sales,9,98059,54,Investigating,2026-02-20
252,Adams-Smith,DDoS,High,IT,469,98522,36,Resolved,2025-10-04
253,"Frye, Smith and Ellis",Phishing,Critical,IT,42,65062,49,Open,2026-04-14
254,"Price, Morgan and Fields",DDoS,Medium,Operations,141,98502,29,Investigating,2025-06-21
255,Alexander-Lopez,DDoS,Low,HR,384,68037,66,Resolved,2025-10-17
256,Garcia and Sons,Phishing,Medium,Finance,447,46699,38,Investigating,2025-09-24
257,Reed-Gibson,Ransomware,Low,HR,364,34024,42,Resolved,2025-09-27
258,Garcia Inc,DDoS,Low,IT,52,41034,45,Resolved,2025-08-07
259,Williams-Rodriguez,Malware,High,IT,93,32578,17,Investigating,2025-12-05
260,Buckley and Sons,Ransomware,Critical,Sales,75,7835,55,Resolved,2025-12-05
261,Wiley LLC,DDoS,Low,Operations,428,69225,3,Resolved,2025-08-18
262,"Boyd, Duffy and Wise",DDoS,High,HR,499,76961,26,Investigating,2026-01-20
263,"Bruce, Nelson and Thomas",Malware,Critical,Sales,177,61653,46,Resolved,2026-01-24
264,Young-Ritter,Malware,Critical,IT,30,9808,53,Investigating,2025-08-27
265,Cabrera-Gomez,Phishing,Medium,Sales,427,28991,13,Resolved,2026-03-24
266,"Arroyo, Jackson and Davis",Insider Threat,Medium,Finance,241,61551,25,Investigating,2026-03-04
267,Rodriguez-Rush,Ransomware,Medium,Operations,350,23704,12,Investigating,2025-11-16
268,Gray Ltd,Insider Threat,Low,HR,406,61379,20,Open,2025-08-30
269,Brown-Richardson,Phishing,Low,Operations,419,8131,23,Open,2025-12-03
270,"Mccormick, Duncan and Howard",Malware,Medium,Operations,353,17639,54,Open,2026-02-11
271,Scott Ltd,Phishing,High,Operations,279,51361,45,Investigating,2025-12-09
272,Rivera-Torres,Insider Threat,High,HR,132,73631,32,Resolved,2026-01-21
273,"Kelly, Vasquez and Kennedy",Insider Threat,Low,Finance,460,42735,23,Open,2026-03-22
274,"Shaw, Conrad and Wright",Ransomware,Low,HR,170,49241,45,Resolved,2025-06-23
275,"Gibson, Garcia and Gonzales",Phishing,Critical,Sales,317,62508,56,Open,2025-05-09
276,Cox PLC,Insider Threat,Low,Sales,483,43058,53,Resolved,2025-10-01
277,Byrd Ltd,SQL Injection,High,IT,437,28820,46,Open,2025-07-31
278,"Drake, Figueroa and Anderson",Ransomware,Critical,Sales,158,30729,45,Investigating,2025-07-17
279,"Barr, Banks and Lee",Malware,High,Sales,387,34036,18,Open,2025-10-19
280,Barnes PLC,Insider Threat,Medium,Operations,405,13717,52,Investigating,2025-08-06
281,Bruce PLC,Malware,Low,Finance,495,71095,4,Resolved,2026-03-22
282,Roy Inc,Malware,Critical,Sales,308,92940,44,Resolved,2025-11-11
283,Madden Ltd,Malware,Low,HR,481,45656,64,Investigating,2026-02-23
284,"Myers, Morales and Gardner",DDoS,Medium,Operations,341,43119,2,Resolved,2025-09-19
285,Daniels LLC,Insider Threat,Low,HR,497,38624,28,Investigating,2025-06-16
286,Hendricks-Zuniga,Insider Threat,High,Finance,80,85492,36,Open,2025-08-27
287,"Nichols, Brooks and Haas",Malware,High,Sales,164,97125,31,Investigating,2025-05-09
288,Martinez-Mitchell,DDoS,Low,HR,7,73380,38,Investigating,2026-03-11
289,Gutierrez and Sons,Insider Threat,Low,Operations,283,53691,34,Investigating,2026-01-06
290,"Bennett, Lee and Mullins",SQL Injection,Critical,Operations,335,39226,1,Resolved,2026-02-16
291,Robinson PLC,DDoS,Low,Operations,82,94644,31,Resolved,2026-02-08
292,Jackson-Schwartz,Insider Threat,Critical,IT,301,30035,16,Resolved,2025-11-26
293,Villarreal-Wade,Ransomware,Low,IT,73,3122,67,Open,2025-08-16
294,Clayton Inc,Phishing,Critical,HR,498,5583,46,Resolved,2025-06-13
295,"Holmes, Barr and Wilson",Phishing,Low,HR,258,22195,3,Investigating,2025-06-26
296,Martin LLC,Insider Threat,Low,Finance,382,19824,47,Resolved,2025-08-29
297,"Harper, Calderon and Gordon",SQL Injection,Critical,HR,348,3961,31,Open,2025-05-20
298,"Buchanan, Shields and Lawrence",Phishing,Medium,Sales,131,6434,17,Open,2025-12-13
299,"Ball, Zimmerman and Warren",DDoS,Medium,Operations,186,56218,8,Resolved,2026-01-25
300,"Williams, Stevens and Cook",DDoS,Critical,Sales,78,95031,49,Open,2025-08-31
301,Goodwin Inc,Phishing,Low,Operations,442,37508,17,Resolved,2026-04-01
302,"Gonzalez, Hammond and Boyd",Ransomware,Low,Sales,290,57128,22,Open,2025-06-19
303,"Harris, Foley and Ramirez",Insider Threat,Critical,Operations,8,48078,59,Investigating,2026-02-15
304,"Vasquez, Gonzalez and Williams",Ransomware,Medium,IT,271,97003,65,Investigating,2026-04-20
305,Morris PLC,Ransomware,High,HR,316,12900,6,Investigating,2025-06-26
306,"Lopez, Duncan and Roberts",SQL Injection,Critical,Sales,291,35231,41,Investigating,2025-11-19
307,Calhoun-Bowman,Phishing,High,Operations,160,79219,17,Open,2025-10-29
308,"Price, Baker and Greene",Insider Threat,High,IT,83,31813,53,Resolved,2026-04-20
309,"White, Miller and Nelson",Ransomware,Critical,HR,142,97946,4,Resolved,2025-09-09
310,Lowery and Sons,Ransomware,Medium,Operations,224,34448,61,Resolved,2025-10-18
311,Callahan Inc,Phishing,High,HR,404,45035,47,Resolved,2026-02-15
312,Riley-Ortiz,Insider Threat,Medium,IT,92,89333,50,Investigating,2025-08-26
313,Dodson-Riddle,Malware,High,Finance,385,5545,65,Resolved,2025-06-23
314,Moore-Gregory,Insider Threat,Critical,HR,312,9573,56,Investigating,2025-11-05
315,Newton-Collins,Insider Threat,Low,HR,404,75228,15,Investigating,2025-06-02
316,Baker-Wade,Phishing,High,Sales,208,41150,29,Open,2025-12-25
317,Mcintyre-Robbins,Malware,Low,HR,107,6004,44,Resolved,2026-01-19
